repo_name,mas_related,uses_mas_runtime,uses_mas,use_case
Zettelgarden/Zettelgarden,yes,no,no,Workflow Automation
a2aproject/A2A,yes,yes,yes,Workflow Automation
acon96/home-llm,yes,no,no,Workflow Automation
actions/cache,no,no,no,Workflow Automation
actions/checkout,yes,no,no,Workflow Automation
aden-hive/hive,yes,yes,yes,Workflow Automation
affaan-m/everything-claude-code,yes,yes,yes,Workflow Automation
ag2ai/ag2,yes,yes,yes,Workflow Automation
agentfront/frontmcp,yes,yes,yes,Workflow Automation
agentscope-ai/agentscope,yes,yes,yes,Workflow Automation
agentscope-ai/agentscope-java,,,,
agentscope-ai/agentscope-runtime,yes,no,no,Workflow Automation
agno-agi/agno,yes,yes,yes,Workflow Automation
ai-boost/awesome-a2a,no,no,no,None
ai-boost/awesome-ai-for-science,no,no,no,None
ai-boost/awesome-prompts,yes,no,no,Workflow Automation
ai-winter/ros_motion_planning,yes,no,no,Simulation
aiming-lab/SimpleMem,yes,no,no,RAG + Agents
aldinokemal/go-whatsapp-web-multidevice,yes,no,no,Workflow Automation
algorithmicsuperintelligence/optillm,yes,yes,yes,Workflow Automation
alibaba/ROLL,yes,no,no,Workflow Automation
alibaba/spring-ai-alibaba,,,,
alicevision/AliceVision,yes,no,no,Workflow Automation
alirezarezvani/claude-skills,yes,yes,yes,Workflow Automation
alvinreal/awesome-opensource-ai,yes,no,no,Workflow Automation
amantus-ai/vibetunnel,yes,yes,yes,Workflow Automation
ampache/ampache,yes,no,no,Workflow Automation
analysis-tools-dev/static-analysis,no,no,no,None
andrewyng/aisuite,yes,yes,yes,Workflow Automation
anthropics/claude-cookbooks,yes,yes,yes,Workflow Automation
anthropics/courses,yes,no,no,Workflow Automation
antvis/mcp-server-chart,yes,no,no,Workflow Automation
apache/airflow,yes,yes,yes,Workflow Automation
apache/fesod,yes,no,no,Workflow Automation
appium/appium,yes,yes,yes,Workflow Automation
ashishpatel26/500-AI-Agents-Projects,,,,
asmjit/asmjit,yes,no,no,Code Generation
assafelovic/gpt-researcher,yes,yes,yes,Workflow Automation
athivvat/ai-engineer-guide,no,no,no,None
avelino/awesome-go,no,no,no,None
avinash201199/free-ai-agents-resources,yes,no,no,Workflow Automation
awesome-foss/awesome-sysadmin,no,no,no,None
awesome-jellyfin/awesome-jellyfin,no,no,no,None
awesome-selfhosted/awesome-selfhosted,no,no,no,None
aws-samples/amazon-sagemaker-generativeai,,,,
aws-samples/sample-agentic-frameworks-on-aws,yes,yes,yes,Workflow Automation
awslabs/agentcore-samples,,,,
awslabs/cli-agent-orchestrator,yes,yes,yes,Workflow Automation
awslabs/fullstack-solution-template-for-agentcore,yes,yes,yes,Workflow Automation
axsaucedo/kaos,yes,yes,yes,Workflow Automation
backbay-labs/clawdstrike,,,,
bansky-cl/diffusion-nlp-paper-arxiv,yes,no,no,Workflow Automation
batocera-linux/batocera.linux,,,,
bitwize-music-studio/claude-ai-music-skills,yes,yes,yes,Workflow Automation
bolna-ai/bolna,yes,no,no,Workflow Automation
bowang-lab/MedRAX,yes,yes,yes,Workflow Automation
bpg/terraform-provider-proxmox,yes,no,no,Workflow Automation
bradAGI/awesome-cli-coding-agents,yes,yes,yes,Workflow Automation
breaking-brake/cc-wf-studio,yes,yes,yes,Workflow Automation
browser-use/workflow-use,yes,no,no,Workflow Automation
browserslist/browserslist,yes,no,no,Workflow Automation
bubbuild/bub,yes,yes,yes,Workflow Automation
builderz-labs/mission-control,yes,yes,yes,Workflow Automation
bytedance/trae-agent,yes,no,no,Workflow Automation
camel-ai/camel,yes,yes,yes,Workflow Automation
camel-ai/owl,yes,yes,yes,Workflow Automation
caramaschiHG/awesome-ai-agents-2026,no,no,no,None
chocolatey/choco,,,,
christopherkarani/Swarm,yes,yes,yes,Workflow Automation
chromedp/chromedp,,,,
cjbarber/ToolsOfTheTrade,no,no,no,None
clduab11/gemini-flow,yes,yes,yes,Workflow Automation
cluesmith/codev,yes,yes,yes,Workflow Automation
cnoe-io/ai-platform-engineering,yes,yes,yes,Workflow Automation
code-yeongyu/oh-my-openagent,yes,yes,yes,Workflow Automation
cognizant-ai-lab/neuro-san-studio,,,,
comet-ml/opik,,,,
confident-ai/deepeval,yes,no,no,Workflow Automation
containers/crun,no,no,no,None
crewAIInc/crewAI,,,,
crewAIInc/crewAI-examples,yes,yes,yes,Workflow Automation
ctf-wiki/ctf-wiki,yes,no,no,Workflow Automation
dair-ai/Prompt-Engineering-Guide,no,no,no,None
danielmiessler/Personal_AI_Infrastructure,yes,yes,yes,Workflow Automation
databendlabs/databend,yes,no,no,Workflow Automation
dataelement/bisheng,yes,yes,yes,Workflow Automation
datahub-project/datahub,,,,
datawhalechina/easy-vibe,,,,
dcostenco/prism-mcp,,,,
deanpeters/Product-Manager-Skills,yes,no,no,Workflow Automation
debezium/debezium,,,,
deepnoodle-ai/dive,yes,yes,yes,Workflow Automation
deepseek-ai/awesome-deepseek-integration,no,no,no,None
defold/defold,,,,
divar-ir/ai-doc-gen,yes,yes,yes,Workflow Automation
dnhkng/GLaDOS,yes,yes,yes,Workflow Automation
dnnyngyen/iron-manus-mcp,yes,yes,yes,Workflow Automation
dontriskit/awesome-ai-system-prompts,no,no,no,None
duke-git/lancet,no,no,no,None
edoardottt/awesome-hacker-search-engines,,,,
elastic/logstash,yes,no,no,Workflow Automation
enaqx/awesome-pentest,yes,yes,yes,Workflow Automation
enescingoz/awesome-n8n-templates,,,,
eosphoros-ai/DB-GPT,,,,
erev0s/VAmPI,no,no,no,None
etcd-io/etcd,no,no,no,None
eudk/awesome-ai-tools,no,no,no,None
exo-explore/exo,yes,yes,yes,Workflow Automation
facebook/react-strict-dom,yes,no,no,Workflow Automation
farion1231/cc-switch,,,,
fastruby/fast-ruby,yes,no,no,Workflow Automation
fffaraz/awesome-cpp,no,no,no,None
filipecalegario/awesome-generative-ai,no,no,no,None
flypythoncom/python,yes,no,no,Workflow Automation
freeCodeCamp/awesome-quincy-larson-emails,yes,no,no,Workflow Automation
gadievron/raptor,yes,yes,yes,Workflow Automation
gastownhall/gastown,yes,yes,yes,Workflow Automation
genieincodebottle/generative-ai,yes,yes,yes,Workflow Automation
gflags/gflags,yes,no,no,Workflow Automation
ghdl/ghdl,yes,no,no,Simulation
github/github-mcp-server,yes,yes,yes,Workflow Automation
github/spec-kit,yes,yes,yes,Workflow Automation
gluk-w/claworc,yes,yes,yes,Workflow Automation
gmh5225/awesome-game-security,,,,
google-gemini/cookbook,yes,yes,yes,Workflow Automation
google/adk-go,yes,yes,yes,Workflow Automation
google/adk-python,yes,yes,yes,Workflow Automation
google/adk-samples,yes,yes,yes,Workflow Automation
google/tunix,,,,
googleapis/mcp-toolbox,yes,yes,yes,Workflow Automation
grafana/mcp-grafana,yes,no,no,Workflow Automation
gsd-build/get-shit-done,yes,yes,yes,Workflow Automation
gsd-build/gsd-2,yes,yes,yes,Workflow Automation
gtmagents/gtm-agents,yes,no,no,Workflow Automation
guidance-ai/guidance,yes,no,no,Workflow Automation
gwtproject/gwt,no,no,no,None
handsome-rich/Awesome-Auto-Research-Tools,yes,no,no,Workflow Automation
haoruilee/awesome-agent-native-services,yes,no,no,Workflow Automation
hashicorp/boundary,yes,no,no,Workflow Automation
heilcheng/awesome-agent-skills,no,no,no,None
hesreallyhim/awesome-claude-code,yes,no,no,Workflow Automation
hidai25/eval-view,yes,no,no,Workflow Automation
hiyouga/LlamaFactory,yes,no,no,Workflow Automation
hongleizhang/RSPapers,,,,
huggingface/agents-course,yes,yes,yes,Workflow Automation
hussius/deeplearning-biology,no,no,no,None
iSEngLab/AwesomeLLM4SE,no,no,no,None
icip-cas/PPTAgent,yes,yes,yes,Workflow Automation
idosal/git-mcp,yes,no,no,Workflow Automation
imran-siddique/agent-os,yes,yes,yes,Workflow Automation
inclusionAI/AWorld,yes,yes,yes,Workflow Automation
infiniflow/ragflow,yes,yes,yes,Workflow Automation
inspec/inspec,yes,no,no,Workflow Automation
intel/confidential-computing.sgx,yes,no,no,Workflow Automation
isekOS/ISEK,yes,yes,yes,Workflow Automation
iterate/iterate,yes,no,no,Workflow Automation
j3ssie/osmedeus,yes,yes,yes,Workflow Automation
jackyideal/AlphaTeam,yes,yes,yes,Workflow Automation
jamwithai/production-agentic-rag-course,yes,yes,yes,Workflow Automation
jd-opensource/JoySafeter,yes,yes,yes,Workflow Automation
jeremylongshore/claude-code-plugins-plus-skills,,,,
jerry609/PaperBot,yes,yes,yes,Workflow Automation
jim-schwoebel/awesome_ai_agents,no,no,no,None
jivoi/awesome-osint,no,no,no,None
josephmisiti/awesome-machine-learning,yes,yes,yes,Workflow Automation
jphall663/awesome-machine-learning-interpretability,no,no,no,None
kagent-dev/kagent,yes,yes,yes,Workflow Automation
kagenti/kagenti,,,,
katanaml/sparrow,yes,no,no,Workflow Automation
katanemo/plano,yes,yes,yes,Workflow Automation
kelos-dev/kelos,yes,yes,yes,Workflow Automation
kelvins/awesome-mlops,yes,no,no,Workflow Automation
kennethleungty/Finance-LLMs,yes,no,no,Workflow Automation
keon/awesome-nlp,no,no,no,None
keon/awesome-physical-ai,no,no,no,None
keploy/keploy,yes,no,no,Workflow Automation
khoj-ai/khoj,yes,yes,yes,Workflow Automation
kif-framework/KIF,yes,no,no,Workflow Automation
ksluckow/awesome-symbolic-execution,no,no,no,None
kyegomez/swarms,,,,
kyrolabs/awesome-langchain,no,no,no,None
l33tdawg/sage,yes,yes,yes,Workflow Automation
langchain-ai/chat-langchain,yes,yes,yes,Workflow Automation
langchain-ai/langchain,yes,yes,yes,Workflow Automation
langchain-ai/langchainjs,yes,yes,yes,Workflow Automation
langchain-ai/langmem,yes,no,no,Workflow Automation
langflow-ai/langflow,,,,
langfuse/langfuse,yes,no,no,Workflow Automation
langgenius/dify,yes,yes,yes,Workflow Automation
laramies/theHarvester,yes,no,no,Workflow Automation
lbjlaq/Antigravity-Manager,yes,yes,yes,Workflow Automation
lemony-ai/cascadeflow,yes,no,no,Workflow Automation
linuxkit/linuxkit,yes,no,no,Workflow Automation
livekit-examples/python-agents-examples,yes,yes,yes,Workflow Automation
llamastack/llama-stack,yes,no,no,Workflow Automation
llm4s/llm4s,,,,
llmsresearch/paperbanana,yes,yes,yes,Workflow Automation
llvm/circt,no,no,no,None
luckyPipewrench/pipelock,yes,no,no,Workflow Automation
lukilabs/craft-agents-oss,yes,yes,yes,Workflow Automation
malhashemi/opencode-skills,yes,no,no,Workflow Automation
mandiant/flare-fakenet-ng,yes,no,no,Simulation
marcelscruz/dev-resources,yes,no,no,Workflow Automation
martymcenroe/AssemblyZero,yes,yes,yes,Workflow Automation
masaic-ai-platform/AgC,yes,no,no,Workflow Automation
matiasmolinas/evolving-agents,yes,yes,yes,Workflow Automation
mdozmorov/scRNA-seq_notes,no,no,no,None
meganz/sdk,yes,no,no,Workflow Automation
memodb-io/Acontext,yes,yes,yes,Workflow Automation
micronucleus/micronucleus,yes,no,no,Workflow Automation
microsoft-foundry/mcp-foundry,yes,no,no,Workflow Automation
microsoft/Agent-Framework-Samples,,,,
microsoft/DirectXTK,yes,no,no,Workflow Automation
microsoft/RD-Agent,yes,yes,yes,Workflow Automation
microsoft/Security-101,yes,no,no,Workflow Automation
microsoft/TinyTroupe,,,,
microsoft/UFO,yes,yes,yes,Workflow Automation
microsoft/agent-lightning,yes,yes,yes,Workflow Automation
microsoft/aitour26-WRK540-unlock-your-agents-potential-with-model-context-protocol,,,,
microsoft/autogen,yes,yes,yes,Workflow Automation
microsoft/botframework-sdk,,,,
microsoft/content-processing-solution-accelerator,yes,no,no,Workflow Automation
microsoft/magentic-ui,yes,yes,yes,Workflow Automation
microsoft/mcp-interviewer,yes,no,no,Workflow Automation
microsoft/semantic-kernel,,,,
microsoft/vcpkg,yes,no,no,Workflow Automation
minipuft/claude-prompts,yes,yes,yes,Workflow Automation
mmphego/mmphego,yes,no,no,Workflow Automation
moazbuilds/CodeMachine-CLI,yes,yes,yes,Workflow Automation
modelcontextprotocol/python-sdk,yes,yes,yes,Workflow Automation
modelscope/ms-agent,yes,yes,yes,Workflow Automation
momo-personal-assistant/momo-research,,,,
moshehbenavraham/Ultimate-Agent-Directory,yes,no,no,Workflow Automation
msitarzewski/agency-agents,yes,yes,yes,Workflow Automation
mudler/LocalAI,yes,yes,yes,Workflow Automation
multica-ai/multica,yes,yes,yes,Workflow Automation
natlas/natlas,yes,no,no,Workflow Automation
nazdridoy/kokoro-tts,yes,no,no,Workflow Automation
neo-project/neo,no,no,no,None
nexi-lab/nexus,yes,no,no,Workflow Automation
nf-core/rnaseq,yes,no,no,Workflow Automation
nikmcfly/MiroFish-Offline,yes,yes,yes,Workflow Automation
nikolaydubina/go-recipes,yes,no,no,Workflow Automation
nim-lang/Nim,no,no,no,None
ollama/ollama,yes,yes,yes,Workflow Automation
onlurking/awesome-infosec,no,no,no,None
open-compass/opencompass,,,,
open-experiments/agent-exchange,yes,yes,yes,Workflow Automation
open-metadata/OpenMetadata,,,,
openai/evals,,,,
openai/gpt-oss,yes,yes,yes,Workflow Automation
openai/openai-agents-js,yes,yes,yes,Workflow Automation
openai/openai-agents-python,yes,yes,yes,Workflow Automation
openai/swarm,yes,yes,yes,Workflow Automation
opencrust-org/opencrust,yes,yes,yes,Workflow Automation
opendilab/awesome-ui-agents,no,no,no,None
opensolon/solon-ai,yes,yes,yes,Workflow Automation
oskardudycz/EventSourcing.NetCore,,,,
oxylabs/how-to-scrape-google-flights,yes,no,no,Workflow Automation
oxylabs/how-to-scrape-google-images,yes,no,no,Workflow Automation
oz123/awesome-c,no,no,no,None
pacoxu/AI-Infra,yes,no,no,Workflow Automation
panaversity/learn-agentic-ai,,,,
paperclipai/paperclip,yes,yes,yes,Workflow Automation
paralleldrive/aidd,yes,yes,yes,Workflow Automation
parcadei/Continuous-Claude-v3,yes,yes,yes,Workflow Automation
pathwaycom/bdh,yes,no,no,Simulation
paullarionov/claude-certified-architect,no,no,no,None
penpot/penpot,,,,
pgermishuys/opencode-weave,yes,yes,yes,Workflow Automation
plasma-umass/coz,yes,no,no,Workflow Automation
plexe-ai/plexe,yes,yes,yes,Workflow Automation
poemswe/co-researcher,yes,yes,yes,Workflow Automation
projectdiscovery/shuffledns,yes,no,no,Workflow Automation
promptslab/Awesome-Prompt-Engineering,yes,yes,yes,Workflow Automation
protontypes/open-sustainable-technology,yes,no,no,Workflow Automation
punkpeye/awesome-mcp-servers,yes,no,no,Workflow Automation
pytorch/rl,yes,no,no,Simulation
qarmin/czkawka,yes,no,no,Workflow Automation
qazbnm456/awesome-web-security,no,no,no,None
qdhenry/Claude-Command-Suite,,,,
qmonnet/awesome-ebpf,no,no,no,None
qualisero/awesome-pi-agent,yes,no,no,Workflow Automation
ripienaar/free-for-dev,no,no,no,None
ritchieng/the-incredible-pytorch,no,no,no,None
rohitg00/awesome-ai-apps,yes,yes,yes,Workflow Automation
rohitg00/awesome-openclaw,yes,no,no,Workflow Automation
rrweb-io/rrweb,,,,
ruc-datalab/DeepAnalyze,yes,no,no,Workflow Automation
run-llama/llama-agents,yes,no,no,Workflow Automation
rust-unofficial/awesome-rust,yes,no,no,Workflow Automation
ruvnet/RuView,yes,yes,yes,Workflow Automation
ruvnet/ruflo,yes,yes,yes,Workflow Automation
ruvnet/ruv-FANN,,,,
s-smits/agentic-cursorrules,yes,no,no,Workflow Automation
sbilly/awesome-security,,,,
scylladb/scylladb,,,,
sdi2200262/agentic-project-management,yes,yes,yes,Workflow Automation
seandavi/awesome-single-cell,no,no,no,None
semantalytics/awesome-semantic-web,no,no,no,None
shanraisshan/claude-code-best-practice,yes,yes,yes,Workflow Automation
shareAI-lab/learn-claude-code,yes,yes,yes,Workflow Automation
shibing624/MedicalGPT,yes,yes,yes,Workflow Automation
showlab/Awesome-Video-Diffusion,no,no,no,None
sickn33/antigravity-awesome-skills,,,,
simdjson/simdjson,no,no,no,None
simonw/claude-code-transcripts,yes,no,no,Workflow Automation
sindresorhus/awesome,yes,yes,yes,Workflow Automation
sipeed/picoclaw,yes,yes,yes,Workflow Automation
sirkirby/unifi-mcp,yes,no,no,Workflow Automation
slimtoolkit/slim,yes,yes,yes,Workflow Automation
smallnest/langgraphgo,yes,yes,yes,Workflow Automation
snarktank/ai-dev-tasks,yes,no,no,Workflow Automation
snarktank/antfarm,yes,yes,yes,Workflow Automation
snoopysecurity/awesome-burp-extensions,no,no,no,None
sottlmarek/DevSecOps,yes,no,no,Workflow Automation
splx-ai/agentic-radar,yes,no,no,Workflow Automation
spmallick/learnopencv,,,,
stevelaskaridis/awesome-mobile-llm,no,no,no,None
stophobia/deerflow2.0-enhanced,yes,yes,yes,Workflow Automation
stravu/crystal,yes,no,no,Workflow Automation
streetsidesoftware/cspell,yes,no,no,Workflow Automation
sudheerj/javascript-interview-questions,yes,yes,yes,Workflow Automation
superiorlu/AITreasureBox,no,no,no,None
taishi-i/awesome-ChatGPT-repositories,no,no,no,None
tambo-ai/tambo,yes,no,no,Workflow Automation
tanishqkumar/beyond-nanogpt,yes,no,no,Workflow Automation
tarun7r/deep-research-agent,yes,yes,yes,Workflow Automation
tensorchord/Awesome-LLMOps,,,,
tensorflow/tfjs,yes,no,no,Workflow Automation
tensorflow/tpu,yes,yes,yes,Workflow Automation
testdriverai/testdriverai,yes,no,no,Workflow Automation
threat9/routersploit,,,,
tirth8205/code-review-graph,yes,no,no,Workflow Automation
tkmru/awesome-edr-bypass,no,no,no,None
towardsai/agent-course-notebooks,yes,yes,yes,Workflow Automation
trackawesomelist/trackawesomelist,yes,no,no,Workflow Automation
trailheadapps/lwc-recipes,no,no,no,None
transitive-bullshit/agentic,yes,no,no,Workflow Automation
tribixbite/awesome,no,no,no,None
trungdq88/Awesome-Black-Friday-Cyber-Monday,no,no,no,None
turbot/steampipe,,,,
unohee/OpenSwarm,yes,yes,yes,Workflow Automation
unoplat/unoplat-code-confluence,,,,
usestrix/strix,yes,yes,yes,Workflow Automation
vectorize-io/hindsight,yes,no,no,RAG + Agents
veelenga/awesome-crystal,yes,no,no,Workflow Automation
veggiemonk/awesome-docker,yes,no,no,Workflow Automation
verl-project/verl,yes,no,no,Workflow Automation
video-db/call.md,yes,no,no,Workflow Automation
vijaythecoder/awesome-claude-agents,yes,yes,yes,Workflow Automation
viktorbezdek/awesome-github-projects,yes,no,no,Workflow Automation
vinilana/dotcontext,yes,yes,yes,Workflow Automation
vinta/awesome-python,yes,no,no,Workflow Automation
vmware/open-vm-tools,yes,no,no,Workflow Automation
vortezwohl/Autono,yes,yes,yes,Workflow Automation
vstorm-co/memv,yes,no,no,Workflow Automation
vuejs/awesome-vue,no,no,no,None
vxcontrol/pentagi,yes,yes,yes,Workflow Automation
wangkai930418/awesome-diffusion-categorized,no,no,no,None
wanshuiyin/Auto-claude-code-research-in-sleep,yes,yes,yes,Workflow Automation
warestack/watchflow,yes,yes,yes,Workflow Automation
wcventure/FuzzingPaper,no,no,no,None
webpack/webpack,,,,
wilsonfreitas/awesome-quant,yes,no,no,Workflow Automation
wpscanteam/wpscan,,,,
wrtnlabs/agentica,yes,yes,yes,Workflow Automation
wshobson/agents,yes,yes,yes,Workflow Automation
x-glacier/GenerativeAgentsCN,yes,yes,yes,Workflow Automation
xindoo/agentic-design-patterns,yes,no,no,Workflow Automation
xiph/opus,no,no,no,None
xixu-me/xget,no,no,no,None
xnl-h4ck3r/xnLinkFinder,yes,no,no,Workflow Automation
yetone/avante.nvim,yes,yes,yes,Workflow Automation
yhzhu99/MedAgentBoard,yes,yes,yes,Simulation
yinggaozhen/awesome-go-cn,no,no,no,None
yologdev/yoyo-evolve,yes,yes,yes,Workflow Automation
yzhao062/pyod,yes,no,no,Workflow Automation
